"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"8411";8411;"2011-12-22";1;0;12;2;0;4;1;1;0,48;0,4697;0,82;0,1045;1;10;11
"17216";17216;"2012-12-25";1;1;12;4;1;2;0;2;0,24;0,2576;0,87;0,0896;0;1;1
"15390";15390;"2012-10-08";4;1;10;10;1;1;0;2;0,38;0,3939;0,68;0,1343;69;229;298
"530";530;"2011-01-24";1;0;1;5;0;1;1;1;0,02;0,0606;0,48;0,1343;0;5;5
"9757";9757;"2012-02-16";1;1;2;11;0;4;1;3;0,32;0,3333;0,7;0,1045;2;69;71
"10337";10337;"2012-03-11";1;1;3;19;0;0;0;1;0,5;0,4848;0,31;0,2836;55;203;258
"16697";16697;"2012-12-03";4;1;12;11;0;1;1;1;0,48;0,4697;0,77;0,1343;51;182;233
"5786";5786;"2011-09-03";3;0;9;12;0;6;0;1;0,7;0,6515;0,61;0,2239;97;160;257
"10361";10361;"2012-03-12";1;1;3;19;0;1;1;2;0,56;0,5303;0,49;0,2239;67;379;446
"6068";6068;"2011-09-15";3;0;9;9;0;4;1;2;0,64;0,6061;0,73;0,3582;23;186;209
"8637";8637;"2011-12-31";1;0;12;15;0;6;0;1;0,46;0,4545;0,47;0,4925;89;164;253
"2587";2587;"2011-04-22";2;0;4;16;0;5;1;3;0,34;0,3333;0,87;0,1343;4;58;62
"5854";5854;"2011-09-06";3;0;9;9;0;2;1;2;0,54;0,5152;0,81;0,4179;18;167;185
"1618";1618;"2011-03-12";1;0;3;21;0;6;0;1;0,38;0,3939;0,62;0;36;46;82
"10860";10860;"2012-04-02";2;1;4;15;0;1;1;1;0,48;0,4697;0,33;0,4179;132;192;324
"6598";6598;"2011-10-07";4;0;10;11;0;5;1;1;0,56;0,5303;0,63;0;80;150;230
"12548";12548;"2012-06-12";2;1;6;0;0;2;1;2;0,7;0,6515;0,58;0,2239;2;26;28
"16679";16679;"2012-12-02";4;1;12;17;0;0;0;3;0,4;0,4091;0,76;0,194;59;244;303
"5024";5024;"2011-08-02";3;0;8;5;0;2;1;1;0,66;0,6212;0,74;0,1343;4;17;21
"8979";8979;"2012-01-14";1;1;1;23;0;6;0;1;0,16;0,1515;0,47;0,2239;5;71;76
"16744";16744;"2012-12-05";4;1;12;10;0;3;1;2;0,44;0,4394;0,47;0,3582;14;127;141
"5858";5858;"2011-09-06";3;0;9;13;0;2;1;3;0,54;0,5152;0,88;0,2985;5;24;29
"7273";7273;"2011-11-04";4;0;11;15;0;5;1;1;0,46;0,4545;0,44;0,3881;45;192;237
"1519";1519;"2011-03-08";1;0;3;15;0;2;1;2;0,36;0,3788;0,18;0;35;77;112
"10739";10739;"2012-03-28";2;1;3;13;0;3;1;1;0,56;0,5303;0,43;0,3284;60;213;273
"17138";17138;"2012-12-21";1;1;12;20;0;5;1;1;0,28;0,2727;0,41;0,2537;8;104;112
"4924";4924;"2011-07-29";3;0;7;1;0;5;1;1;0,74;0,7121;0,79;0,1343;12;22;34
"3108";3108;"2011-05-14";2;0;5;9;0;6;0;2;0,52;0,5;0,94;0,0896;14;86;100
"12811";12811;"2012-06-22";3;1;6;23;0;5;1;2;0,66;0,6212;0,74;0;29;145;174
"256";256;"2011-01-12";1;0;1;0;0;3;1;2;0,16;0,197;0,86;0,0896;0;7;7
"12349";12349;"2012-06-03";2;1;6;17;0;0;0;1;0,7;0,6364;0,34;0,2537;192;386;578
"4123";4123;"2011-06-25";3;0;6;16;0;6;0;1;0,76;0,6818;0,43;0,2985;175;235;410
"9274";9274;"2012-01-27";1;1;1;7;0;5;1;2;0,42;0,4242;1;0,2985;6;128;134
"8015";8015;"2011-12-05";4;0;12;14;0;1;1;2;0,46;0,4545;0,67;0;7;126;133
"1655";1655;"2011-03-14";1;0;3;12;0;1;1;1;0,38;0,3939;0,37;0;40;54;94
"7137";7137;"2011-10-29";4;0;10;23;0;6;0;1;0,22;0,2273;0,87;0,194;3;33;36
"11619";11619;"2012-05-04";2;1;5;7;0;5;1;1;0,56;0,5303;0,88;0;9;347;356
"6505";6505;"2011-10-03";4;0;10;14;0;1;1;3;0,4;0,4091;0,76;0;26;94;120
"2370";2370;"2011-04-13";2;0;4;15;0;3;1;2;0,44;0,4394;0,72;0,2836;12;69;81
"12420";12420;"2012-06-06";2;1;6;16;0;3;1;1;0,64;0,6212;0,41;0,1343;107;345;452
"13947";13947;"2012-08-09";3;1;8;7;0;4;1;2;0,7;0,6667;0,84;0,1642;24;451;475
"2263";2263;"2011-04-09";2;0;4;3;0;6;0;3;0,3;0,2879;1;0,2537;3;11;14
"5664";5664;"2011-08-29";3;0;8;10;0;1;1;1;0,66;0,6212;0,47;0,2239;42;73;115
"15313";15313;"2012-10-05";4;1;10;5;0;5;1;1;0,52;0,5;0,77;0;0;41;41
"4782";4782;"2011-07-23";3;0;7;3;0;6;0;1;0,78;0,7576;0,66;0,0896;6;16;22
"12184";12184;"2012-05-27";2;1;5;20;0;0;0;1;0,74;0,6818;0,55;0,1642;168;224;392
"10907";10907;"2012-04-04";2;1;4;14;0;3;1;2;0,62;0,6212;0,46;0,194;82;176;258
"6560";6560;"2011-10-05";4;0;10;21;0;3;1;1;0,5;0,4848;0,82;0,1045;28;173;201
"13036";13036;"2012-07-02";3;1;7;8;0;1;1;1;0,76;0,697;0,52;0,194;20;548;568
"6268";6268;"2011-09-23";4;0;9;17;0;5;1;2;0,6;0,5;1;0;13;86;99
"7006";7006;"2011-10-24";4;0;10;12;0;1;1;2;0,52;0,5;0,68;0,1045;64;156;220
"3881";3881;"2011-06-15";2;0;6;14;0;3;1;1;0,74;0,6515;0,28;0;50;128;178
"13439";13439;"2012-07-19";3;1;7;3;0;4;1;1;0,72;0,6818;0,7;0,1045;1;4;5
"8596";8596;"2011-12-29";1;0;12;22;0;4;1;1;0,28;0,2879;0,65;0,1343;7;48;55
"2717";2717;"2011-04-28";2;0;4;2;0;4;1;2;0,62;0,5758;0,83;0,4478;14;7;21
"5333";5333;"2011-08-15";3;0;8;2;0;1;1;2;0,6;0,5606;0,83;0;0;3;3
"14424";14424;"2012-08-29";3;1;8;4;0;3;1;1;0,6;0,5909;0,73;0,2239;2;8;10
"430";430;"2011-01-19";1;0;1;22;0;3;1;1;0,3;0,303;0,52;0,1642;6;53;59
"4435";4435;"2011-07-08";3;0;7;16;0;5;1;3;0,68;0,6364;0,83;0,4478;27;105;132
"16556";16556;"2012-11-27";4;1;11;13;0;2;1;3;0,28;0,2727;0,87;0,2537;4;73;77
"2565";2565;"2011-04-21";2;0;4;18;0;4;1;1;0,5;0,4848;0,25;0,2836;71;381;452
"7258";7258;"2011-11-04";4;0;11;0;0;5;1;2;0,4;0,4091;0,82;0;11;32;43
"4349";4349;"2011-07-05";3;0;7;2;0;2;1;1;0,66;0,6212;0,74;0,0896;8;5;13
"13171";13171;"2012-07-07";3;1;7;23;0;6;0;1;0,84;0,8182;0,56;0,1642;34;114;148
"6811";6811;"2011-10-16";4;0;10;8;0;0;0;1;0,44;0,4394;0,62;0,194;28;71;99
"617";617;"2011-01-28";1;0;1;22;0;5;1;1;0,24;0,2121;0,65;0,3582;0;26;26
"10186";10186;"2012-03-05";1;1;3;11;0;1;1;2;0,26;0,2727;0,56;0,1343;17;86;103
"17129";17129;"2012-12-21";1;1;12;11;0;5;1;2;0,32;0,2879;0,42;0,4179;12;150;162
"4087";4087;"2011-06-24";3;0;6;4;0;5;1;1;0,66;0,6061;0,83;0,0896;1;8;9
"13820";13820;"2012-08-04";3;1;8;0;0;6;0;1;0,74;0,7121;0,79;0,1642;24;137;161
"5203";5203;"2011-08-09";3;0;8;16;0;2;1;1;0,86;0,7727;0,39;0,2985;57;228;285
"16493";16493;"2012-11-24";4;1;11;22;0;6;0;1;0,24;0,2273;0,44;0,2537;7;69;76
"15228";15228;"2012-10-01";4;1;10;16;0;1;1;2;0,62;0,6212;0,46;0,2537;51;408;459
"8641";8641;"2011-12-31";1;0;12;19;0;6;0;1;0,42;0,4242;0,54;0,2239;19;73;92
"3045";3045;"2011-05-11";2;0;5;18;0;3;1;1;0,62;0,6212;0,5;0,2985;40;234;274
"6967";6967;"2011-10-22";4;0;10;21;0;6;0;1;0,4;0,4091;0,76;0;37;120;157
"15789";15789;"2012-10-25";4;1;10;1;0;4;1;1;0,58;0,5455;0,68;0;6;22;28
"6912";6912;"2011-10-20";4;0;10;14;0;4;1;2;0,48;0,4697;0,48;0,5522;38;117;155
"3888";3888;"2011-06-15";2;0;6;21;0;3;1;1;0,64;0,6212;0,47;0,2239;48;209;257
"1478";1478;"2011-03-06";1;0;3;21;0;0;0;3;0,24;0,1818;0,93;0,6119;1;6;7
"2903";2903;"2011-05-05";2;0;5;20;0;4;1;1;0,5;0,4848;0,34;0,1642;33;225;258
"12789";12789;"2012-06-22";3;1;6;1;0;5;1;1;0,76;0,7424;0,75;0,1642;3;28;31
"123";123;"2011-01-06";1;0;1;8;0;4;1;1;0,16;0,2273;0,59;0;3;216;219
"15635";15635;"2012-10-18";4;1;10;15;0;4;1;2;0,6;0,6061;0,6;0,194;69;284;353
"10831";10831;"2012-04-01";2;1;4;9;0;0;0;2;0,36;0,3485;0,81;0,1343;102;173;275
"928";928;"2011-02-11";1;0;2;6;0;5;1;1;0,1;0,1818;0,68;0;1;23;24
"8479";8479;"2011-12-24";1;0;12;22;0;6;0;1;0,24;0,2879;0,52;0;8;12;20
"351";351;"2011-01-16";1;0;1;2;0;0;0;1;0,26;0,2879;0,56;0,0896;3;13;16
"12862";12862;"2012-06-25";3;1;6;2;0;1;1;1;0,7;0,6515;0,7;0,2239;4;10;14
"5693";5693;"2011-08-30";3;0;8;15;0;2;1;1;0,74;0,6515;0,35;0,2239;34;162;196
"4750";4750;"2011-07-21";3;0;7;19;0;4;1;1;0,86;0,9242;0,67;0,2836;51;233;284
"10258";10258;"2012-03-08";1;1;3;11;0;4;1;2;0,54;0,5152;0,6;0,4627;48;156;204
"13016";13016;"2012-07-01";3;1;7;12;0;0;0;1;0,9;0,8182;0,37;0,2239;114;319;433
"14287";14287;"2012-08-23";3;1;8;11;0;4;1;1;0,76;0,6818;0,48;0,0896;86;192;278
"353";353;"2011-01-16";1;0;1;4;0;0;0;1;0,26;0,2576;0,56;0,1642;0;1;1
"6836";6836;"2011-10-17";4;0;10;9;0;1;1;2;0,5;0,4848;0,45;0,2836;26;180;206
"13813";13813;"2012-08-03";3;1;8;17;0;5;1;2;0,84;0,803;0,53;0,2836;95;646;741
"12688";12688;"2012-06-17";2;1;6;20;0;0;0;1;0,62;0,6212;0,57;0,194;101;201;302
"10828";10828;"2012-04-01";2;1;4;6;0;0;0;2;0,36;0,3485;0,76;0,1343;9;88;97
"10384";10384;"2012-03-13";1;1;3;18;0;2;1;1;0,7;0,6364;0,34;0,2985;96;638;734
"11924";11924;"2012-05-17";2;1;5;0;0;4;1;1;0,6;0,5758;0,78;0,1343;30;49;79
"15820";15820;"2012-10-26";4;1;10;8;0;5;1;2;0,54;0,5152;0,88;0,1343;20;714;734
"17021";17021;"2012-12-16";4;1;12;23;0;0;0;2;0,36;0,3485;0,93;0,1343;4;29;33
"2021";2021;"2011-03-30";2;0;3;1;0;3;1;1;0,32;0,3485;0,39;0;1;9;10
"9596";9596;"2012-02-09";1;1;2;18;0;4;1;1;0,34;0,3333;0,31;0,1642;13;404;417
"10035";10035;"2012-02-28";1;1;2;3;0;2;1;1;0,4;0,4091;0,32;0,3582;0;6;6
"14928";14928;"2012-09-19";3;1;9;4;0;3;1;2;0,52;0,5;0,68;0,3582;0;10;10
"15863";15863;"2012-10-28";4;1;10;3;0;0;0;2;0,5;0,4848;0,63;0,3284;18;61;79
"13609";13609;"2012-07-26";3;1;7;5;0;4;1;1;0,66;0,6212;0,74;0,194;2;40;42
"9179";9179;"2012-01-23";1;1;1;8;0;1;1;3;0,2;0,2121;0,86;0,1343;5;267;272
"9067";9067;"2012-01-18";1;1;1;16;0;3;1;1;0,28;0,2273;0,3;0,5224;13;163;176
"2319";2319;"2011-04-11";2;0;4;12;0;1;1;2;0,6;0,5909;0,73;0,3284;37;97;134
"8519";8519;"2011-12-26";1;0;12;16;1;1;0;1;0,36;0,3333;0,43;0,2836;28;69;97
"2780";2780;"2011-04-30";2;0;4;17;0;6;0;1;0,56;0,5303;0,43;0,1343;162;245;407
"7589";7589;"2011-11-17";4;0;11;19;0;4;1;1;0,3;0,2879;0,45;0,2239;7;210;217
"12887";12887;"2012-06-26";3;1;6;3;0;2;1;1;0,54;0,5152;0,45;0,2836;2;7;9
"2723";2723;"2011-04-28";2;0;4;8;0;4;1;2;0,66;0,6061;0,78;0,4478;31;367;398
"6824";6824;"2011-10-16";4;0;10;21;0;0;0;1;0,54;0,5152;0,52;0,3881;14;88;102
"11504";11504;"2012-04-29";2;1;4;12;0;0;0;1;0,48;0,4697;0,44;0,1045;223;361;584
"4523";4523;"2011-07-12";3;0;7;8;0;2;1;1;0,76;0,7121;0,58;0,2239;35;382;417
"12672";12672;"2012-06-17";2;1;6;4;0;0;0;1;0,54;0,5152;0,64;0,0896;2;16;18
"1705";1705;"2011-03-16";1;0;3;16;0;3;1;2;0,4;0,4091;0,76;0,1642;30;121;151
"8194";8194;"2011-12-13";4;0;12;1;0;2;1;1;0,2;0,2576;0,8;0;0;4;4
"5517";5517;"2011-08-22";3;0;8;18;0;1;1;1;0,72;0,6515;0,28;0,2985;72;537;609
"14253";14253;"2012-08-22";3;1;8;1;0;3;1;1;0,62;0,5909;0,78;0;1;20;21
"13353";13353;"2012-07-15";3;1;7;13;0;0;0;1;0,86;0,7879;0,41;0,1045;171;309;480
"5544";5544;"2011-08-23";3;0;8;21;0;2;1;1;0,62;0,6212;0,57;0;38;173;211
"17219";17219;"2012-12-25";1;1;12;7;1;2;0;2;0,22;0,2273;0,93;0,1642;0;6;6
"12435";12435;"2012-06-07";2;1;6;7;0;4;1;1;0,5;0,4848;0,82;0,1642;20;506;526
"4611";4611;"2011-07-16";3;0;7;0;0;6;0;1;0,62;0,6061;0,65;0,194;42;68;110
"6596";6596;"2011-10-07";4;0;10;9;0;5;1;1;0,48;0,4697;0,77;0;34;207;241
"1201";1201;"2011-02-23";1;0;2;1;0;3;1;1;0,14;0,1515;0,46;0,1642;0;4;4
"11523";11523;"2012-04-30";2;1;4;7;0;1;1;1;0,4;0,4091;0,5;0,194;6;343;349
"7192";7192;"2011-11-01";4;0;11;6;0;2;1;1;0,32;0,3182;0,81;0,194;3;90;93
"14337";14337;"2012-08-25";3;1;8;13;0;6;0;2;0,72;0,6667;0,51;0,3582;186;331;517
"7964";7964;"2011-12-03";4;0;12;11;0;6;0;1;0,32;0,3333;0,57;0,0896;48;227;275
"12072";12072;"2012-05-23";2;1;5;4;0;3;1;3;0,58;0,5455;0,83;0,194;0;3;3
"16";16;"2011-01-01";1;0;1;15;0;6;0;2;0,44;0,4394;0,77;0,2985;40;70;110
"17266";17266;"2012-12-27";1;1;12;6;0;4;1;1;0,24;0,197;0,7;0,4925;0;45;45
"8024";8024;"2011-12-05";4;0;12;23;0;1;1;2;0,46;0,4545;0,88;0,1343;8;54;62
"4307";4307;"2011-07-03";3;0;7;8;0;0;0;1;0,68;0,6364;0,79;0,2239;39;53;92
"17351";17351;"2012-12-30";1;1;12;19;0;0;0;1;0,34;0,3636;0,61;0;16;86;102
"9685";9685;"2012-02-13";1;1;2;11;0;1;1;1;0,22;0,2273;0,37;0,194;5;85;90
"2795";2795;"2011-05-01";2;0;5;8;0;0;0;2;0,44;0,4394;0,77;0,1343;16;43;59
"8320";8320;"2011-12-18";4;0;12;7;0;0;0;1;0,2;0,2121;0,59;0,1642;1;11;12
"2460";2460;"2011-04-17";2;0;4;9;0;0;0;1;0,4;0,4091;0,43;0,2836;31;71;102
"12973";12973;"2012-06-29";3;1;6;17;0;5;1;1;0,98;0,9242;0,34;0,194;82;457;539
"8539";8539;"2011-12-27";1;0;12;12;0;2;1;3;0,3;0,3182;0,81;0,0896;8;16;24
"7568";7568;"2011-11-16";4;0;11;22;0;3;1;3;0,42;0,4242;0,88;0,2239;1;45;46
"9926";9926;"2012-02-23";1;1;2;14;0;4;1;1;0,54;0,5152;0,37;0,2537;36;156;192
"15547";15547;"2012-10-14";4;1;10;23;0;0;0;2;0,56;0,5303;0,68;0,2836;27;78;105
"9420";9420;"2012-02-02";1;1;2;9;0;4;1;3;0,38;0,3939;0,87;0;15;213;228
"2067";2067;"2011-03-31";2;0;3;23;0;4;1;3;0,26;0,2576;1;0,1642;4;23;27
"14763";14763;"2012-09-12";3;1;9;7;0;3;1;1;0,52;0,5;0,72;0;24;533;557
"4877";4877;"2011-07-27";3;0;7;2;0;3;1;1;0,76;0,697;0,52;0,2985;1;5;6
"1927";1927;"2011-03-26";2;0;3;1;0;6;0;1;0,26;0,2273;0,38;0,2985;3;24;27
"10996";10996;"2012-04-08";2;1;4;7;0;0;0;1;0,38;0,3939;0,27;0,1642;12;25;37
"10195";10195;"2012-03-05";1;1;3;20;0;1;1;1;0,26;0,2273;0,37;0,4627;8;171;179
"447";447;"2011-01-20";1;0;1;15;0;4;1;2;0,32;0,3182;0,45;0,194;8;62;70
"2039";2039;"2011-03-30";2;0;3;19;0;3;1;2;0,26;0,2576;0,93;0,2239;5;67;72
"5557";5557;"2011-08-24";3;0;8;10;0;3;1;1;0,7;0,6515;0,58;0,2836;51;95;146
"3783";3783;"2011-06-11";2;0;6;12;0;6;0;1;0,8;0,7576;0,55;0,2239;112;235;347
"4272";4272;"2011-07-01";3;0;7;21;0;5;1;1;0,7;0,6364;0,45;0,194;69;149;218
"6446";6446;"2011-10-01";4;0;10;3;0;6;0;1;0,46;0,4545;0,59;0,4179;8;17;25
"15356";15356;"2012-10-07";4;1;10;0;0;0;0;1;0,44;0,4394;0,62;0,1642;28;99;127
"7742";7742;"2011-11-24";4;0;11;4;1;4;0;1;0,3;0,3182;0,61;0,0896;1;1;2
"7916";7916;"2011-12-01";4;0;12;11;0;4;1;1;0,34;0,3182;0,49;0,2537;7;95;102
"3677";3677;"2011-06-07";2;0;6;2;0;2;1;1;0,6;0,5909;0,73;0,0896;3;2;5
"3933";3933;"2011-06-17";2;0;6;18;0;5;1;3;0,76;0,6818;0,4;0,194;62;388;450
"7263";7263;"2011-11-04";4;0;11;5;0;5;1;2;0,38;0,3939;0,87;0;0;23;23
"1961";1961;"2011-03-27";2;0;3;12;0;0;0;2;0,26;0,2576;0,44;0,2239;43;120;163
"8425";8425;"2011-12-22";1;0;12;16;0;4;1;2;0,46;0,4545;0,63;0;30;226;256
"12064";12064;"2012-05-22";2;1;5;20;0;2;1;1;0,64;0,6061;0,73;0,2537;54;319;373
"4778";4778;"2011-07-22";3;0;7;23;0;5;1;1;0,8;0,7879;0,63;0,194;19;84;103
"14227";14227;"2012-08-20";3;1;8;23;0;1;1;2;0,6;0,5606;0,83;0;10;92;102
"7035";7035;"2011-10-25";4;0;10;17;0;2;1;1;0,56;0,5303;0,37;0,1045;68;517;585
"4270";4270;"2011-07-01";3;0;7;19;0;5;1;1;0,78;0,6667;0,25;0,194;80;238;318
"12768";12768;"2012-06-21";3;1;6;4;0;4;1;1;0,7;0,6667;0,84;0,0896;1;11;12
"13934";13934;"2012-08-08";3;1;8;18;0;3;1;2;0,78;0,7273;0,55;0,1642;117;745;862
"10331";10331;"2012-03-11";1;1;3;13;0;0;0;1;0,42;0,4242;0,41;0,2985;176;288;464
"8694";8694;"2012-01-03";1;1;1;1;0;2;1;1;0,18;0,1818;0,55;0,2239;1;5;6
"9715";9715;"2012-02-14";1;1;2;17;0;2;1;1;0,42;0,4242;0,38;0,3582;19;504;523
"16476";16476;"2012-11-24";4;1;11;5;0;6;0;1;0,26;0,2273;0,41;0,3284;1;2;3
"16779";16779;"2012-12-06";4;1;12;21;0;4;1;2;0,24;0,2424;0,6;0,1343;7;184;191
"12961";12961;"2012-06-29";3;1;6;5;0;5;1;1;0,7;0,6515;0,61;0,1045;6;39;45
"6904";6904;"2011-10-20";4;0;10;6;0;4;1;1;0,44;0,4394;0,82;0,4179;5;87;92
"5302";5302;"2011-08-13";3;0;8;19;0;6;0;2;0,68;0,6364;0,79;0,2836;67;170;237
"1646";1646;"2011-03-14";1;0;3;2;0;1;1;1;0,26;0,2879;0,65;0,0896;0;1;1
"2235";2235;"2011-04-07";2;0;4;23;0;4;1;1;0,38;0,3939;0,76;0,2537;9;45;54
"898";898;"2011-02-09";1;0;2;21;0;3;1;2;0,14;0,1515;0,86;0,1642;0;83;83
"12426";12426;"2012-06-06";2;1;6;22;0;3;1;1;0,52;0,5;0,77;0,0896;27;221;248
"7596";7596;"2011-11-18";4;0;11;2;0;5;1;1;0,24;0,2273;0,44;0,2239;2;8;10
"14990";14990;"2012-09-21";3;1;9;18;0;5;1;1;0,66;0,6212;0,61;0,2537;106;699;805
"15941";15941;"2012-11-01";4;1;11;21;0;4;1;2;0,38;0,3939;0,54;0,1343;29;238;267
"515";515;"2011-01-23";1;0;1;13;0;0;0;1;0,14;0,1061;0,33;0,3881;12;75;87
"7231";7231;"2011-11-02";4;0;11;21;0;3;1;1;0,38;0,3939;0,71;0,1343;13;155;168
"14791";14791;"2012-09-13";3;1;9;11;0;4;1;1;0,66;0,6212;0,5;0,1642;71;183;254
"13193";13193;"2012-07-08";3;1;7;21;0;0;0;1;0,76;0,7273;0,7;0,1343;58;149;207
